year,campus,programme_code,programme_name,degree_type,cutoff_score,max_score
2018,Goa,MSC-PHYS,"M.Sc. Physics",MSC,275,450
2018,Hyderabad,BE-CHE,"B.E. Chemical",BE,257,450
2018,Hyderabad,BE-CIV,"B.E. Civil",BE,258,450
2018,Hyderabad,BE-CSE,"B.E. Computer Science",BE,334,450
2018,Hyderabad,BE-ECE,"B.E. Electronics & Communication",BE,312,450
2018,Hyderabad,BE-EEE,"B.E. Electrical & Electronics",BE,298,450
2018,Hyderabad,BE-EIE,"B.E. Electronics & Instrumentation",BE,286,450
2018,Hyderabad,BE-MECH,"B.E. Mechanical",BE,275,450
2018,Hyderabad,BPHARM,"B. Pharm.",BPHARM,177,450
2018,Hyderabad,MSC-BIO,"M.Sc. Biological Sciences",MSC,250,450
2018,Hyderabad,MSC-CHEM,"M.Sc. Chemistry",MSC,254,450
2018,Hyderabad,MSC-ECON,"M.Sc. Economics",MSC,283,450
2018,Hyderabad,MSC-MATH,"M.Sc. Mathematics",MSC,267,450
2018,Hyderabad,MSC-PHYS,"M.Sc. Physics",MSC,265,450
2018,Pilani,BE-CHE,"B.E. Chemical",BE,280,450
2018,Pilani,BE-CIV,"B.E. Civil",BE,274,450
2018,Pilani,BE-CSE,"B.E. Computer Science",BE,378,450
2018,Pilani,BE-EEE,"B.E. Electrical & Electronics",BE,338,450
2018,Pilani,BE-EIE,"B.E. Electronics & Instrumentation",BE,319,450
2018,Pilani,BE-MANF,"B.E. Manufacturing",BE,270,450
2018,Pilani,BE-MECH,"B.E. Mechanical",BE,313,450
2018,Pilani,BPHARM,"B. Pharm.",BPHARM,213,450
2018,Pilani,MSC-BIO,"M.Sc. Biological Sciences",MSC,259,450
2018,Pilani,MSC-CHEM,"M.Sc. Chemistry",MSC,265,450
2018,Pilani,MSC-ECON,"M.Sc. Economics",MSC,308,450
2018,Pilani,MSC-MATH,"M.Sc. Mathematics",MSC,297,450
2018,Pilani,MSC-PHYS,"M.Sc. Physics",MSC,288,450
2017,Goa,BE-CHE,"B.E. Chemical",BE,276,450
2017,Goa,BE-CSE,"B.E. Computer Science",BE,350,450
2017,Goa,BE-ECE,"B.E. Electronics & Communication",BE,322,450
2017,Goa,BE-EEE,"B.E. Electrical & Electronics",BE,320,450
2017,Goa,BE-EIE,"B.E. Electronics & Instrumentation",BE,301,450
2017,Goa,BE-MECH,"B.E. Mechanical",BE,304,450
2017,Goa,MSC-BIO,"M.Sc. Biological Sciences",MSC,202,450
2017,Goa,MSC-CHEM,"M.Sc. Chemistry",MSC,235,450
2017,Goa,MSC-ECON,"M.Sc. Economics",MSC,290,450
2017,Goa,MSC-MATH,"M.Sc. Mathematics",MSC,273,450
2017,Goa,MSC-PHYS,"M.Sc. Physics",MSC,270,450
2017,Hyderabad,BE-CHE,"B.E. Chemical",BE,272,450
2017,Hyderabad,BE-CIV,"B.E. Civil",BE,273,450
2017,Hyderabad,BE-CSE,"B.E. Computer Science",BE,339,450
2017,Hyderabad,BE-ECE,"B.E. Electronics & Communication",BE,320,450
2017,Hyderabad,BE-EEE,"B.E. Electrical & Electronics",BE,310,450
2017,Hyderabad,BE-EIE,"B.E. Electronics & Instrumentation",BE,298,450
2017,Hyderabad,BE-MANF,"B.E. Manufacturing",BE,269,450
2017,Hyderabad,BE-MECH,"B.E. Mechanical",BE,297,450
2017,Hyderabad,BPHARM,"B. Pharm.",BPHARM,200,450
2017,Hyderabad,MSC-BIO,"M.Sc. Biological Sciences",MSC,202,450
2017,Hyderabad,MSC-CHEM,"M.Sc. Chemistry",MSC,222,450
2017,Hyderabad,MSC-ECON,"M.Sc. Economics",MSC,279,450
2017,Hyderabad,MSC-MATH,"M.Sc. Mathematics",MSC,258,450
2017,Hyderabad,MSC-PHYS,"M.Sc. Physics",MSC,251,450
2017,Pilani,BE-CHE,"B.E. Chemical",BE,306,450
2017,Pilani,BE-CIV,"B.E. Civil",BE,294,450
2017,Pilani,BE-CSE,"B.E. Computer Science",BE,382,450
2017,Pilani,BE-EEE,"B.E. Electrical & Electronics",BE,355,450
2017,Pilani,BE-EIE,"B.E. Electronics & Instrumentation",BE,332,450
2017,Pilani,BE-MANF,"B.E. Manufacturing",BE,288,450
2017,Pilani,BE-MECH,"B.E. Mechanical",BE,334,450
2017,Pilani,BPHARM,"B. Pharm.",BPHARM,221,450
2017,Pilani,MSC-BIO,"M.Sc. Biological Sciences",MSC,237,450
2017,Pilani,MSC-CHEM,"M.Sc. Chemistry",MSC,265,450
2017,Pilani,MSC-ECON,"M.Sc. Economics",MSC,323,450
2017,Pilani,MSC-MATH,"M.Sc. Mathematics",MSC,312,450
2017,Pilani,MSC-PHYS,"M.Sc. Physics",MSC,304,450
